2018-04-25 17:25:06,213, TESTLOG, INFO, Start __main__.py
2018-04-25 17:25:06,214, TESTLOG, INFO, Ready to search key word...
2018-04-25 17:25:06,380, TESTLOG, INFO, Input keyword selenium in the textbox...
2018-04-25 17:25:06,457, TESTLOG, INFO, Check the search result...
2018-04-25 17:25:07,171, TESTLOG, INFO, Success to find the search result...
